;x,y,wid,hgt,defaultcolor(0..15 that will be used as ink in empty chr$)
;6912: color 0 in bmp is for mask
;16c: color 16 in bmp is for mask
;formats:
;[b: b/w tiles: wid, hgt, data]
;B: colour tiles: wid, hgt, data
;s: b/w sprites: wid8, hgt, (antimask, antipixels, ...)
;[S: colour sprites: wid8, hgt, (antimask, antipixels, ...)]
;T: colour tilepic 28xN (size 0xN00 bytes)
;x: 16c sprite: wid/2,hgt,(column:and,or...),(0x4000-((hgt-1)*40))...,prsprqwid
;P: DDp palette

tankw3u0=x,0,176,16,16
tankw3u1=x,16,176,16,16
tankw3r0=x,32,176,16,16
tankw3r1=x,48,176,16,16
tankr3u0=x,64,176,16,16
tankr3u1=x,80,176,16,16
tankr3r0=x,96,176,16,16
tankr3r1=x,112,176,16,16
tankw4u0=x,0,192,16,16
tankw4u1=x,16,192,16,16
tankw4r0=x,32,192,16,16
tankw4r1=x,48,192,16,16
tankr4u0=x,64,192,16,16
tankr4u1=x,80,192,16,16
tankr4r0=x,96,192,16,16
tankr4r1=x,112,192,16,16
tankw5u0=x,0,208,16,16
tankw5u1=x,16,208,16,16
tankw5r0=x,32,208,16,16
tankw5r1=x,48,208,16,16
tankr5u0=x,64,192,16,16
tankr5u1=x,80,192,16,16
tankr5r0=x,96,192,16,16
tankr5r1=x,112,192,16,16
;
;tankw3u0=x,0,240,16,16
;tankw3u1=x,16,240,16,16
tankw3l0=x,32,240,16,16
tankw3l1=x,48,240,16,16
;tankr3u0=x,64,240,16,16
;tankr3u1=x,80,240,16,16
tankr3l0=x,96,240,16,16
tankr3l1=x,112,240,16,16
;tankw4u0=x,0,256,16,16
;tankw4u1=x,16,256,16,16
tankw4l0=x,32,256,16,16
tankw4l1=x,48,256,16,16
;tankr4u0=x,64,256,16,16
;tankr4u1=x,80,256,16,16
tankr4l0=x,96,256,16,16
tankr4l1=x,112,256,16,16
;tankw5u0=x,0,272,16,16
;tankw5u1=x,16,272,16,16
tankw5l0=x,32,272,16,16
tankw5l1=x,48,272,16,16
;tankr5u0=x,64,272,16,16
;tankr5u1=x,80,272,16,16
tankr5l0=x,96,272,16,16
tankr5l1=x,112,272,16,16
;
tankw3d0=x,0,304,16,16
tankw3d1=x,16,304,16,16
;tankw3r0=x,32,304,16,16
;tankw3r1=x,48,304,16,16
tankr3d0=x,64,304,16,16
tankr3d1=x,80,304,16,16
;tankr3r0=x,96,304,16,16
;tankr3r1=x,112,304,16,16
tankw4d0=x,0,320,16,16
tankw4d1=x,16,320,16,16
;tankw4r0=x,32,320,16,16
;tankw4r1=x,48,320,16,16
tankr4d0=x,64,320,16,16
tankr4d1=x,80,320,16,16
;tankr4r0=x,96,320,16,16
;tankr4r1=x,112,320,16,16
tankw5d0=x,0,336,16,16
tankw5d1=x,16,336,16,16
;tankw5r0=x,32,336,16,16
;tankw5r1=x,48,336,16,16
tankr5d0=x,64,320,16,16
tankr5d1=x,80,320,16,16
;tankr5r0=x,96,320,16,16
;tankr5r1=x,112,320,16,16
